dataset,horizon,baseline_mse,baseline_mae,best_config_mse,best_mse,worst_config_mse,worst_mse,STD-Trend_gain_mse,STD-Seasonal_gain_mse,STD-Dispersion_gain_mse,STD-Full_gain_mse,STD-Trend_gain_mae,STD-Seasonal_gain_mae,STD-Dispersion_gain_mae,STD-Full_gain_mae
ETTh1.csv,96,0.2899,0.3643,Baseline,0.2899,STD-Full,0.3419,-0.7243877199034119,-0.7588823732321612,-1.2418075198344232,-17.9372197309417,-0.8234971177600886,-0.384298654954711,-0.9332967334614367,-4.693933571232502
ETTh1.csv,192,0.321,0.3864,Baseline,0.321,STD-Full,0.3568,-1.5264797507788208,-0.4984423676012431,-1.1214953271028012,-11.152647975077882,-1.682194616977227,-0.3364389233954368,-0.6987577639751501,-5.5124223602484435
ETTh1.csv,336,0.3456,0.4045,STD-Seasonal,0.343,STD-Full,0.371,0.11574074074074406,0.7523148148148122,-0.9837962962962842,-7.349537037037031,-0.8405438813349712,0.692212608158226,-1.0630407911001163,-5.537700865265753
ETTh1.csv,720,0.375,0.4446,STD-Trend,0.3659,STD-Full,0.4085,2.426666666666666,-7.360000000000004,-4.479999999999995,-8.933333333333326,1.4170040485829898,-5.555555555555555,-2.721547458389564,-6.2303193882141255
ETTh2.csv,96,0.2532,0.3455,STD-Trend,0.2398,Baseline,0.2532,5.292259083728266,0.8688783570300078,3.672985781990511,2.251184834123216,3.878437047756865,0.23154848046308754,1.9102749638205487,2.778581765557163
ETTh2.csv,192,0.3402,0.4121,STD-Dispersion,0.2869,Baseline,0.3402,7.025279247501463,12.286890064667844,15.667254556143448,11.493239271017055,3.979616597913134,8.12909487988353,11.162339238049027,8.12909487988353
ETTh2.csv,336,0.372,0.4353,STD-Dispersion,0.3344,STD-Seasonal,0.3727,6.827956989247307,-0.1881720430107469,10.107526881720435,9.489247311827958,3.836434642775096,-1.0567424764530193,5.62830232023892,5.283712382265109
ETTh2.csv,720,0.4603,0.501,STD-Dispersion,0.3865,STD-Trend,0.5605,-21.76841190527917,-9.36345861394742,16.033021942211597,-2.0204214642624443,-9.181636726546914,-7.38522954091817,8.902195608782442,-1.9361277445109866
ETTm1.csv,96,0.2406,0.3214,STD-Seasonal,0.2401,STD-Full,0.2662,-0.5403158769742292,0.2078137988362429,-0.955943474646715,-10.640066500415621,-1.3690105787180955,0.28002489110143497,-1.6179215930304862,-9.427504667081516
ETTm1.csv,192,0.268,0.3413,STD-Seasonal,0.2665,STD-Full,0.317,-1.6044776119402873,0.5597014925373139,-0.33582089552237177,-18.283582089552233,-2.4611778493993612,0.4687957808379696,-0.292997363023733,-13.06768239085849
ETTm1.csv,336,0.2948,0.3646,Baseline,0.2948,STD-Trend,0.3516,-19.267299864314797,-10.65128900949796,-0.6784260515603805,-13.466757123473547,-17.800329127811302,-10.833790455293482,0.49369171695007363,-9.352715304443231
ETTm1.csv,720,0.3304,0.3852,Baseline,0.3304,STD-Full,0.4359,-1.240920096852298,-0.5447941888619758,-4.47941888619854,-31.930992736077474,-1.0643821391484924,0.0,-4.750778816199388,-24.50674974039461
ETTm2.csv,96,0.1372,0.2483,STD-Trend,0.1369,STD-Full,0.1925,0.21865889212827602,-7.653061224489803,-6.341107871720126,-40.30612244897961,0.12082158679017105,-3.383004430124845,-5.517519130084582,-19.331453886427717
ETTm2.csv,192,0.1884,0.2943,STD-Dispersion,0.1727,STD-Full,0.2893,5.360934182590247,6.63481953290871,8.333333333333343,-53.55626326963906,5.5385660890247985,6.218144750254836,8.290859667006467,-25.620115528372395
ETTm2.csv,336,0.3093,0.3964,STD-Dispersion,0.2721,STD-Trend,0.7121,-130.22955059812477,-10.539928871645639,12.027158098933077,-10.895570643388298,-55.27245206861758,-7.9969727547931395,5.650857719475272,4.3390514631685155
ETTm2.csv,720,0.3368,0.4131,STD-Dispersion,0.2771,STD-Full,0.4053,-3.5926365795724466,15.676959619952498,17.725653206650822,-20.33847980997625,-0.9682885499878972,13.265553134834185,13.87073347857662,-10.505930767368673
exchange_rate.csv,96,0.0515,0.1695,Baseline,0.0515,STD-Seasonal,0.0939,-8.737864077669911,-82.33009708737865,-14.36893203883496,-17.281553398058264,-5.1327433628318495,-39.941002949852496,-5.604719764011787,-9.203539823008834
exchange_rate.csv,192,0.1192,0.2716,STD-Full,0.109,STD-Dispersion,0.1415,3.691275167785236,8.38926174496644,-18.708053691275158,8.557046979865772,4.197349042709876,6.222385861561128,-6.44329896907217,8.615611192930782
exchange_rate.csv,336,0.2584,0.4074,STD-Full,0.1732,STD-Dispersion,0.3973,-9.171826625386997,10.87461300309598,-53.75386996904024,32.97213622291022,-5.694648993618066,7.412862052037311,-21.526755031909673,20.029455081001473
exchange_rate.csv,720,0.3909,0.5107,Baseline,0.3909,STD-Trend,0.5674,-45.15221284215911,-34.89383474034279,-27.475057559478124,-21.693527756459446,-20.5991775993734,-14.920697082435858,-9.888388486391225,-5.443508909340109
